enzyme,treatment,substrate,slope
HRP,A,MBTH/DMAB,0.003835454545454542
HRP,A_H2O2,MBTH/DMAB,0.06524545454545451
HRP,B,MBTH/DMAB,0.0044631818181818175
HRP,B_H2O2,MBTH/DMAB,0.06699863636363634
MnP,A,MBTH/DMAB,0.0034654545454545467
MnP,A_H2O2,MBTH/DMAB,0.09168590909090904
MnP,B,MBTH/DMAB,0.0018768181818181818
MnP,B_H2O2,MBTH/DMAB,0.002174090909090907
HRP,A,ABTS,0.0015149999999999992
HRP,A_H2O2,ABTS,0.3079163636363636
HRP,B,ABTS,0.0027472727272727193
HRP,B_H2O2,ABTS,0.3613313636363635
MnP,A,ABTS,0.0013163636363636316
MnP,A_H2O2,ABTS,0.008526818181818177
MnP,B,ABTS,0.0011527272727272747
MnP,B_H2O2,ABTS,0.00492227272727272
HRP,A,L-DOPA,6.000000000000237e-5
HRP,A_H2O2,L-DOPA,1.3090909090909263e-4
HRP,B,L-DOPA,3.1818181818169133e-6
HRP,B_H2O2,L-DOPA,7.545454545454062e-5
MnP,A,L-DOPA,1.35909090909091e-4
MnP,A_H2O2,L-DOPA,0.004865454545454539
MnP,B,L-DOPA,4.318181818181405e-5
MnP,B_H2O2,L-DOPA,1.2954545454545407e-4
HRP,A,DMP,1.522727272727274e-4
HRP,A_H2O2,DMP,5.02272727272723e-4
HRP,B,DMP,1.190909090909089e-4
HRP,B_H2O2,DMP,4.7772727272727273e-4
MnP,A,DMP,1.4545454545454708e-4
MnP,A_H2O2,DMP,0.019426363636363634
MnP,B,DMP,1.227272727272269e-5
MnP,B_H2O2,DMP,9.545454545450666e-6
