"time_min","sample","absorbance","treatment"
0,"soak_1",0.1,"A_H2O2"
0,"soak_1",0.0912,"B_H2O2"
0,"soak_1",0.0891,"A"
0,"soak_1",0.0853,"B"
0,"soak_2",0.1066,"A_H2O2"
0,"soak_2",0.0928,"B_H2O2"
0,"soak_2",0.0929,"A"
0,"soak_2",0.0921,"B"
0,"soak_3",0.1015,"A_H2O2"
0,"soak_3",0.0917,"B_H2O2"
0,"soak_3",0.0924,"A"
0,"soak_3",0.0921,"B"
0,"soak_1",0.1001,"A_H2O2"
0,"soak_1",0.0881,"B_H2O2"
0,"soak_1",0.0862,"A"
0,"soak_1",0.0858,"B"
0,"soak_2",0.1093,"A_H2O2"
0,"soak_2",0.0927,"B_H2O2"
0,"soak_2",0.0917,"A"
0,"soak_2",0.0919,"B"
0,"soak_3",0.1042,"A_H2O2"
0,"soak_3",0.0914,"B_H2O2"
0,"soak_3",0.0892,"A"
0,"soak_3",0.0921,"B"
0,"soak_1",0.0999,"A_H2O2"
0,"soak_1",0.0882,"B_H2O2"
0,"soak_1",0.0883,"A"
0,"soak_1",0.0865,"B"
0,"soak_2",0.107,"A_H2O2"
0,"soak_2",0.0941,"B_H2O2"
0,"soak_2",0.0918,"A"
0,"soak_2",0.0908,"B"
0,"soak_3",0.1048,"A_H2O2"
0,"soak_3",0.0909,"B_H2O2"
0,"soak_3",0.0894,"A"
0,"soak_3",0.0919,"B"
0,"soak_1",0.1008,"A_H2O2"
0,"soak_1",0.0881,"B_H2O2"
0,"soak_1",0.0869,"A"
0,"soak_1",0.0856,"B"
0,"soak_2",0.1065,"A_H2O2"
0,"soak_2",0.0947,"B_H2O2"
0,"soak_2",0.0918,"A"
0,"soak_2",0.0906,"B"
0,"soak_3",0.1032,"A_H2O2"
0,"soak_3",0.0915,"B_H2O2"
0,"soak_3",0.0909,"A"
0,"soak_3",0.0944,"B"
0,"shake_1",0.1195,"A_H2O2"
0,"shake_1",0.1033,"B_H2O2"
0,"shake_1",0.0997,"A"
0,"shake_1",0.0983,"B"
0,"shake_2",0.1305,"A_H2O2"
0,"shake_2",0.1062,"B_H2O2"
0,"shake_2",0.099,"A"
0,"shake_2",0.0975,"B"
0,"shake_3",0.1348,"A_H2O2"
0,"shake_3",0.1101,"B_H2O2"
0,"shake_3",0.1056,"A"
0,"shake_3",0.105,"B"
0,"shake_1",0.1217,"A_H2O2"
0,"shake_1",0.1029,"B_H2O2"
0,"shake_1",0.1008,"A"
0,"shake_1",0.0977,"B"
0,"shake_2",0.1304,"A_H2O2"
0,"shake_2",0.1033,"B_H2O2"
0,"shake_2",0.0981,"A"
0,"shake_2",0.0979,"B"
0,"shake_3",0.1386,"A_H2O2"
0,"shake_3",0.1096,"B_H2O2"
0,"shake_3",0.1064,"A"
0,"shake_3",0.1052,"B"
0,"shake_1",0.1218,"A_H2O2"
0,"shake_1",0.102,"B_H2O2"
0,"shake_1",0.0994,"A"
0,"shake_1",0.0969,"B"
0,"shake_2",0.1316,"A_H2O2"
0,"shake_2",0.1026,"B_H2O2"
0,"shake_2",0.0987,"A"
0,"shake_2",0.0975,"B"
0,"shake_3",0.1356,"A_H2O2"
0,"shake_3",0.1108,"B_H2O2"
0,"shake_3",0.107,"A"
0,"shake_3",0.1062,"B"
0,"shake_1",0.1215,"A_H2O2"
0,"shake_1",0.1032,"B_H2O2"
0,"shake_1",0.1016,"A"
0,"shake_1",0.0993,"B"
0,"shake_2",0.1339,"A_H2O2"
0,"shake_2",0.1037,"B_H2O2"
0,"shake_2",0.1012,"A"
0,"shake_2",0.0985,"B"
0,"shake_3",0.1391,"A_H2O2"
0,"shake_3",0.1146,"B_H2O2"
0,"shake_3",0.1081,"A"
0,"shake_3",0.1102,"B"
0.5,"soak_1",0.1021,"A_H2O2"
0.5,"soak_1",0.0919,"B_H2O2"
0.5,"soak_1",0.0894,"A"
0.5,"soak_1",0.0859,"B"
0.5,"soak_2",0.1098,"A_H2O2"
0.5,"soak_2",0.0972,"B_H2O2"
0.5,"soak_2",0.0941,"A"
0.5,"soak_2",0.0932,"B"
0.5,"soak_3",0.1046,"A_H2O2"
0.5,"soak_3",0.0938,"B_H2O2"
0.5,"soak_3",0.0935,"A"
0.5,"soak_3",0.0939,"B"
0.5,"soak_1",0.1026,"A_H2O2"
0.5,"soak_1",0.0888,"B_H2O2"
0.5,"soak_1",0.087,"A"
0.5,"soak_1",0.0865,"B"
0.5,"soak_2",0.1138,"A_H2O2"
0.5,"soak_2",0.0944,"B_H2O2"
0.5,"soak_2",0.0926,"A"
0.5,"soak_2",0.093,"B"
0.5,"soak_3",0.1078,"A_H2O2"
0.5,"soak_3",0.0932,"B_H2O2"
0.5,"soak_3",0.0904,"A"
0.5,"soak_3",0.0943,"B"
0.5,"soak_1",0.1027,"A_H2O2"
0.5,"soak_1",0.089,"B_H2O2"
0.5,"soak_1",0.0887,"A"
0.5,"soak_1",0.0869,"B"
0.5,"soak_2",0.1116,"A_H2O2"
0.5,"soak_2",0.0958,"B_H2O2"
0.5,"soak_2",0.0935,"A"
0.5,"soak_2",0.0919,"B"
0.5,"soak_3",0.11,"A_H2O2"
0.5,"soak_3",0.0934,"B_H2O2"
0.5,"soak_3",0.0908,"A"
0.5,"soak_3",0.0942,"B"
0.5,"soak_1",0.1035,"A_H2O2"
0.5,"soak_1",0.0888,"B_H2O2"
0.5,"soak_1",0.0876,"A"
0.5,"soak_1",0.0864,"B"
0.5,"soak_2",0.1103,"A_H2O2"
0.5,"soak_2",0.0967,"B_H2O2"
0.5,"soak_2",0.0935,"A"
0.5,"soak_2",0.092,"B"
0.5,"soak_3",0.1082,"A_H2O2"
0.5,"soak_3",0.0937,"B_H2O2"
0.5,"soak_3",0.0926,"A"
0.5,"soak_3",0.0938,"B"
0.5,"shake_1",0.1265,"A_H2O2"
0.5,"shake_1",0.1065,"B_H2O2"
0.5,"shake_1",0.1022,"A"
0.5,"shake_1",0.1011,"B"
0.5,"shake_2",0.1386,"A_H2O2"
0.5,"shake_2",0.1087,"B_H2O2"
0.5,"shake_2",0.101,"A"
0.5,"shake_2",0.1,"B"
0.5,"shake_3",0.1484,"A_H2O2"
0.5,"shake_3",0.1168,"B_H2O2"
0.5,"shake_3",0.1095,"A"
0.5,"shake_3",0.1098,"B"
0.5,"shake_1",0.1291,"A_H2O2"
0.5,"shake_1",0.1067,"B_H2O2"
0.5,"shake_1",0.1034,"A"
0.5,"shake_1",0.1007,"B"
0.5,"shake_2",0.1373,"A_H2O2"
0.5,"shake_2",0.1075,"B_H2O2"
0.5,"shake_2",0.1002,"A"
0.5,"shake_2",0.1004,"B"
0.5,"shake_3",0.1509,"A_H2O2"
0.5,"shake_3",0.116,"B_H2O2"
0.5,"shake_3",0.1101,"A"
0.5,"shake_3",0.1098,"B"
0.5,"shake_1",0.1278,"A_H2O2"
0.5,"shake_1",0.1055,"B_H2O2"
0.5,"shake_1",0.1023,"A"
0.5,"shake_1",0.0997,"B"
0.5,"shake_2",0.1404,"A_H2O2"
0.5,"shake_2",0.1067,"B_H2O2"
0.5,"shake_2",0.1007,"A"
0.5,"shake_2",0.1,"B"
0.5,"shake_3",0.1454,"A_H2O2"
0.5,"shake_3",0.1169,"B_H2O2"
0.5,"shake_3",0.1105,"A"
0.5,"shake_3",0.1103,"B"
0.5,"shake_1",0.1278,"A_H2O2"
0.5,"shake_1",0.107,"B_H2O2"
0.5,"shake_1",0.1044,"A"
0.5,"shake_1",0.1021,"B"
0.5,"shake_2",0.1451,"A_H2O2"
0.5,"shake_2",0.1078,"B_H2O2"
0.5,"shake_2",0.1029,"A"
0.5,"shake_2",0.1012,"B"
0.5,"shake_3",0.154,"A_H2O2"
0.5,"shake_3",0.1212,"B_H2O2"
0.5,"shake_3",0.1116,"A"
0.5,"shake_3",0.1146,"B"
1,"soak_1",0.1044,"A_H2O2"
1,"soak_1",0.0934,"B_H2O2"
1,"soak_1",0.0905,"A"
1,"soak_1",0.087,"B"
1,"soak_2",0.1135,"A_H2O2"
1,"soak_2",0.0964,"B_H2O2"
1,"soak_2",0.0957,"A"
1,"soak_2",0.0951,"B"
1,"soak_3",0.107,"A_H2O2"
1,"soak_3",0.0961,"B_H2O2"
1,"soak_3",0.0952,"A"
1,"soak_3",0.0959,"B"
1,"soak_1",0.105,"A_H2O2"
1,"soak_1",0.0902,"B_H2O2"
1,"soak_1",0.0879,"A"
1,"soak_1",0.0874,"B"
1,"soak_2",0.1172,"A_H2O2"
1,"soak_2",0.0966,"B_H2O2"
1,"soak_2",0.0945,"A"
1,"soak_2",0.0947,"B"
1,"soak_3",0.1104,"A_H2O2"
1,"soak_3",0.095,"B_H2O2"
1,"soak_3",0.0914,"A"
1,"soak_3",0.096,"B"
1,"soak_1",0.1064,"A_H2O2"
1,"soak_1",0.0902,"B_H2O2"
1,"soak_1",0.0901,"A"
1,"soak_1",0.0881,"B"
1,"soak_2",0.1174,"A_H2O2"
1,"soak_2",0.0981,"B_H2O2"
1,"soak_2",0.0953,"A"
1,"soak_2",0.0937,"B"
1,"soak_3",0.1148,"A_H2O2"
1,"soak_3",0.0957,"B_H2O2"
1,"soak_3",0.0923,"A"
1,"soak_3",0.0957,"B"
1,"soak_1",0.1066,"A_H2O2"
1,"soak_1",0.0902,"B_H2O2"
1,"soak_1",0.0886,"A"
1,"soak_1",0.0877,"B"
1,"soak_2",0.114,"A_H2O2"
1,"soak_2",0.0989,"B_H2O2"
1,"soak_2",0.0953,"A"
1,"soak_2",0.094,"B"
1,"soak_3",0.1117,"A_H2O2"
1,"soak_3",0.0956,"B_H2O2"
1,"soak_3",0.0942,"A"
1,"soak_3",0.0957,"B"
1,"shake_1",0.1317,"A_H2O2"
1,"shake_1",0.1099,"B_H2O2"
1,"shake_1",0.1048,"A"
1,"shake_1",0.1043,"B"
1,"shake_2",0.1481,"A_H2O2"
1,"shake_2",0.1115,"B_H2O2"
1,"shake_2",0.1028,"A"
1,"shake_2",0.1026,"B"
1,"shake_3",0.1616,"A_H2O2"
1,"shake_3",0.1229,"B_H2O2"
1,"shake_3",0.113,"A"
1,"shake_3",0.1148,"B"
1,"shake_1",0.134,"A_H2O2"
1,"shake_1",0.1104,"B_H2O2"
1,"shake_1",0.1059,"A"
1,"shake_1",0.1032,"B"
1,"shake_2",0.1431,"A_H2O2"
1,"shake_2",0.1113,"B_H2O2"
1,"shake_2",0.102,"A"
1,"shake_2",0.1029,"B"
1,"shake_3",0.161,"A_H2O2"
1,"shake_3",0.1216,"B_H2O2"
1,"shake_3",0.114,"A"
1,"shake_3",0.1142,"B"
1,"shake_1",0.1327,"A_H2O2"
1,"shake_1",0.1091,"B_H2O2"
1,"shake_1",0.1049,"A"
1,"shake_1",0.1027,"B"
1,"shake_2",0.1483,"A_H2O2"
1,"shake_2",0.1106,"B_H2O2"
1,"shake_2",0.1029,"A"
1,"shake_2",0.1028,"B"
1,"shake_3",0.1533,"A_H2O2"
1,"shake_3",0.1231,"B_H2O2"
1,"shake_3",0.1147,"A"
1,"shake_3",0.1151,"B"
1,"shake_1",0.1319,"A_H2O2"
1,"shake_1",0.1107,"B_H2O2"
1,"shake_1",0.1067,"A"
1,"shake_1",0.1047,"B"
