"time_min","sample","absorbance","treatment"
0,"soak_1",0.0521,"A_H2O2"
0,"soak_1",0.0474,"B_H2O2"
0,"soak_1",0.0507,"A"
0,"soak_1",0.0479,"B"
0,"soak_2",0.0553,"A_H2O2"
0,"soak_2",0.0493,"B_H2O2"
0,"soak_2",0.0507,"A"
0,"soak_2",0.0492,"B"
0,"soak_3",0.053,"A_H2O2"
0,"soak_3",0.0481,"B_H2O2"
0,"soak_3",0.0501,"A"
0,"soak_3",0.0483,"B"
0,"soak_1",0.0527,"A_H2O2"
0,"soak_1",0.0465,"B_H2O2"
0,"soak_1",0.0486,"A"
0,"soak_1",0.0478,"B"
0,"soak_2",0.0564,"A_H2O2"
0,"soak_2",0.0488,"B_H2O2"
0,"soak_2",0.0498,"A"
0,"soak_2",0.0488,"B"
0,"soak_3",0.0525,"A_H2O2"
0,"soak_3",0.0477,"B_H2O2"
0,"soak_3",0.0478,"A"
0,"soak_3",0.0491,"B"
0,"soak_1",0.0524,"A_H2O2"
0,"soak_1",0.0476,"B_H2O2"
0,"soak_1",0.0488,"A"
0,"soak_1",0.0477,"B"
0,"soak_2",0.0562,"A_H2O2"
0,"soak_2",0.0496,"B_H2O2"
0,"soak_2",0.0497,"A"
0,"soak_2",0.0482,"B"
0,"soak_3",0.0533,"A_H2O2"
0,"soak_3",0.0477,"B_H2O2"
0,"soak_3",0.048,"A"
0,"soak_3",0.0486,"B"
0,"soak_1",0.053,"A_H2O2"
0,"soak_1",0.0479,"B_H2O2"
0,"soak_1",0.0488,"A"
0,"soak_1",0.048,"B"
0,"soak_2",0.0563,"A_H2O2"
0,"soak_2",0.0491,"B_H2O2"
0,"soak_2",0.0503,"A"
0,"soak_2",0.0487,"B"
0,"soak_3",0.0538,"A_H2O2"
0,"soak_3",0.0477,"B_H2O2"
0,"soak_3",0.0489,"A"
0,"soak_3",0.0488,"B"
0,"shake_1",0.0619,"A_H2O2"
0,"shake_1",0.0517,"B_H2O2"
0,"shake_1",0.0528,"A"
0,"shake_1",0.0515,"B"
