"well_ID","time_min","MnP_conc","H2O2_conc","absorbance"
"A1",0,"0.008",50,0.1357
"A2",0,"0.008",50,0.1857
"A3",0,"0.008",50,0.1372
"A4",0,"0.008",50,0.1696
"A5",0,"0.005",50,0.1092
"A6",0,"0.005",50,0.1485
"A7",0,"0.005",50,0.1141
"A8",0,"0.005",50,0.1013
"B1",0,"0.008",10,0.3983
"B2",0,"0.008",10,0.2524
"B3",0,"0.008",10,0.1993
"B4",0,"0.008",10,0.3314
"B5",0,"0.005",10,0.2591
"B6",0,"0.005",10,0.2573
"B7",0,"0.005",10,0.1994
"B8",0,"0.005",10,0.22
"C1",0,"0.008",5,0.2828
"C2",0,"0.008",5,0.3917
"C3",0,"0.008",5,0.3735
"C4",0,"0.008",5,0.6108
"C5",0,"0.005",5,0.334
"C6",0,"0.005",5,0.2236
"C7",0,"0.005",5,0.3256
"C8",0,"0.005",5,0.2418
"D1",0,"0.008",2.5,0.6371
"D2",0,"0.008",2.5,1.113
"D3",0,"0.008",2.5,0.5189
"D4",0,"0.008",2.5,0.7036
"D5",0,"0.005",2.5,0.3422
"D6",0,"0.005",2.5,0.4494
"D7",0,"0.005",2.5,0.3263
"D8",0,"0.005",2.5,0.49
"E1",0,"0.008",1.25,0.8684
"E2",0,"0.008",1.25,0.7165
"E3",0,"0.008",1.25,0.8102
"E4",0,"0.008",1.25,0.7081
"E5",0,"0.005",1.25,0.4119
"E6",0,"0.005",1.25,0.4766
"E7",0,"0.005",1.25,0.5136
"E8",0,"0.005",1.25,0.5962
"F2",0,"0.008",0.75,0.6092
"F3",0,"0.008",0.75,0.612
"F4",0,"0.008",0.75,0.6315
"F5",0,"0.005",0.75,0.4416
"F6",0,"0.005",0.75,0.3764
"F7",0,"0.005",0.75,0.4253
"F8",0,"0.005",0.75,0.4694
"G1",0,"0.008",0.375,0.3512
"G2",0,"0.008",0.375,0.3518
"G3",0,"0.008",0.375,0.3923
"G4",0,"0.008",0.375,0.3388
"G5",0,"0.005",0.375,0.2745
"G6",0,"0.005",0.375,0.2796
"G7",0,"0.005",0.375,0.2794
"G8",0,"0.005",0.375,0.2608
"H1",0,"0.008",0,0.0742
"H2",0,"0.008",0,0.0741
"H3",0,"0.008",0,0.0722
"H4",0,"0.008",0,0.0728
"H5",0,"0.005",0,0.0727
"H6",0,"0.005",0,0.0763
"H7",0,"0.005",0,0.0739
"H8",0,"0.005",0,0.074
"A1",0.5,"0.008",50,0.1618
"A2",0.5,"0.008",50,0.1772
"A3",0.5,"0.008",50,0.1761
"A4",0.5,"0.008",50,0.1666
"A5",0.5,"0.005",50,0.1507
"A6",0.5,"0.005",50,0.1439
"A7",0.5,"0.005",50,0.1303
"A8",0.5,"0.005",50,0.1444
"B1",0.5,"0.008",10,0.37
"B2",0.5,"0.008",10,0.2736
"B3",0.5,"0.008",10,0.3246
"B4",0.5,"0.008",10,0.393
"B5",0.5,"0.005",10,0.268
"B6",0.5,"0.005",10,0.2535
"B7",0.5,"0.005",10,0.2576
"B8",0.5,"0.005",10,0.3481
"C1",0.5,"0.008",5,0.3409
"C2",0.5,"0.008",5,0.4999
"C3",0.5,"0.008",5,0.4793
"C4",0.5,"0.008",5,0.6826
"C5",0.5,"0.005",5,0.3815
"C6",0.5,"0.005",5,0.3157
