"time_min","sample","absorbance","treatment"
0,"soak_1",0.0502,"A_H2O2"
0,"soak_1",0.0497,"B_H2O2"
0,"soak_1",0.0508,"A"
0,"soak_1",0.0493,"B"
0,"soak_2",0.0519,"A_H2O2"
0,"soak_2",0.051,"B_H2O2"
0,"soak_2",0.0533,"A"
0,"soak_2",0.0514,"B"
0,"soak_3",0.0516,"A_H2O2"
0,"soak_3",0.0512,"B_H2O2"
0,"soak_3",0.0521,"A"
0,"soak_3",0.0508,"B"
0,"soak_1",0.0498,"A_H2O2"
0,"soak_1",0.0493,"B_H2O2"
0,"soak_1",0.0486,"A"
0,"soak_1",0.0488,"B"
0,"soak_2",0.0524,"A_H2O2"
0,"soak_2",0.051,"B_H2O2"
0,"soak_2",0.0507,"A"
0,"soak_2",0.0519,"B"
0,"soak_3",0.0512,"A_H2O2"
0,"soak_3",0.0503,"B_H2O2"
0,"soak_3",0.0497,"A"
0,"soak_3",0.0503,"B"
0,"soak_1",0.0502,"A_H2O2"
0,"soak_1",0.0496,"B_H2O2"
0,"soak_1",0.0489,"A"
0,"soak_1",0.0492,"B"
0,"soak_2",0.0515,"A_H2O2"
0,"soak_2",0.0512,"B_H2O2"
0,"soak_2",0.0505,"A"
0,"soak_2",0.0504,"B"
0,"soak_3",0.0509,"A_H2O2"
0,"soak_3",0.0502,"B_H2O2"
0,"soak_3",0.0533,"A"
0,"soak_3",0.0507,"B"
0,"soak_1",0.0496,"A_H2O2"
0,"soak_1",0.0489,"B_H2O2"
0,"soak_1",0.0488,"A"
0,"soak_1",0.049,"B"
0,"soak_2",0.0518,"A_H2O2"
0,"soak_2",0.0521,"B_H2O2"
0,"soak_2",0.0506,"A"
0,"soak_2",0.0506,"B"
0,"soak_3",0.0509,"A_H2O2"
0,"soak_3",0.0507,"B_H2O2"
0,"soak_3",0.0504,"A"
0,"soak_3",0.051,"B"
0,"shake_1",0.0547,"A_H2O2"
0,"shake_1",0.0535,"B_H2O2"
0,"shake_1",0.0536,"A"
0,"shake_1",0.0534,"B"
0,"shake_2",0.0549,"A_H2O2"
0,"shake_2",0.0542,"B_H2O2"
0,"shake_2",0.0535,"A"
0,"shake_2",0.0533,"B"
0,"shake_3",0.0555,"A_H2O2"
0,"shake_3",0.0549,"B_H2O2"
0,"shake_3",0.0545,"A"
0,"shake_3",0.0548,"B"
0,"shake_1",0.0554,"A_H2O2"
0,"shake_1",0.0536,"B_H2O2"
0,"shake_1",0.0542,"A"
0,"shake_1",0.0528,"B"
0,"shake_2",0.0552,"A_H2O2"
0,"shake_2",0.0531,"B_H2O2"
0,"shake_2",0.0533,"A"
0,"shake_2",0.0531,"B"
0,"shake_3",0.0665,"A_H2O2"
0,"shake_3",0.054,"B_H2O2"
0,"shake_3",0.0543,"A"
0,"shake_3",0.055,"B"
0,"shake_1",0.0546,"A_H2O2"
0,"shake_1",0.0528,"B_H2O2"
0,"shake_1",0.0532,"A"
0,"shake_1",0.0526,"B"
0,"shake_2",0.0548,"A_H2O2"
0,"shake_2",0.0533,"B_H2O2"
0,"shake_2",0.0533,"A"
0,"shake_2",0.0546,"B"
0,"shake_3",0.0561,"A_H2O2"
0,"shake_3",0.0545,"B_H2O2"
0,"shake_3",0.0546,"A"
0,"shake_3",0.0575,"B"
0,"shake_1",0.0552,"A_H2O2"
0,"shake_1",0.0531,"B_H2O2"
0,"shake_1",0.0539,"A"
0,"shake_1",0.0544,"B"
0,"shake_2",0.0558,"A_H2O2"
0,"shake_2",0.0539,"B_H2O2"
0,"shake_2",0.0551,"A"
0,"shake_2",0.054,"B"
0,"shake_3",0.056,"A_H2O2"
0,"shake_3",0.058,"B_H2O2"
0,"shake_3",0.0548,"A"
0,"shake_3",0.0556,"B"
0.5,"soak_1",0.0509,"A_H2O2"
0.5,"soak_1",0.0502,"B_H2O2"
0.5,"soak_1",0.0508,"A"
0.5,"soak_1",0.0488,"B"
0.5,"soak_2",0.0523,"A_H2O2"
0.5,"soak_2",0.051,"B_H2O2"
0.5,"soak_2",0.0525,"A"
0.5,"soak_2",0.052,"B"
0.5,"soak_3",0.0524,"A_H2O2"
0.5,"soak_3",0.0521,"B_H2O2"
0.5,"soak_3",0.0527,"A"
0.5,"soak_3",0.0515,"B"
0.5,"soak_1",0.0502,"A_H2O2"
0.5,"soak_1",0.0493,"B_H2O2"
0.5,"soak_1",0.0489,"A"
0.5,"soak_1",0.0491,"B"
0.5,"soak_2",0.0524,"A_H2O2"
0.5,"soak_2",0.0506,"B_H2O2"
0.5,"soak_2",0.0505,"A"
0.5,"soak_2",0.0513,"B"
0.5,"soak_3",0.0521,"A_H2O2"
0.5,"soak_3",0.0505,"B_H2O2"
0.5,"soak_3",0.05,"A"
0.5,"soak_3",0.0506,"B"
0.5,"soak_1",0.0505,"A_H2O2"
0.5,"soak_1",0.0495,"B_H2O2"
0.5,"soak_1",0.0489,"A"
0.5,"soak_1",0.0496,"B"
0.5,"soak_2",0.052,"A_H2O2"
0.5,"soak_2",0.0514,"B_H2O2"
0.5,"soak_2",0.0507,"A"
0.5,"soak_2",0.0502,"B"
0.5,"soak_3",0.0518,"A_H2O2"
