"time_min","sample","absorbance","treatment"
0,"soak_1",0.093,"A_H2O2"
0,"soak_1",0.07,"B_H2O2"
0,"soak_1",0.0769,"A"
0,"soak_1",0.0686,"B"
0,"soak_2",0.1018,"A_H2O2"
0,"soak_2",0.0723,"B_H2O2"
0,"soak_2",0.0814,"A"
0,"soak_2",0.0708,"B"
0,"soak_3",0.093,"A_H2O2"
0,"soak_3",0.0753,"B_H2O2"
0,"soak_3",0.0769,"A"
0,"soak_3",0.068,"B"
0,"soak_1",0.0935,"A_H2O2"
0,"soak_1",0.0698,"B_H2O2"
0,"soak_1",0.0758,"A"
0,"soak_1",0.0694,"B"
0,"soak_2",0.1039,"A_H2O2"
0,"soak_2",0.0731,"B_H2O2"
0,"soak_2",0.0831,"A"
0,"soak_2",0.071,"B"
0,"soak_3",0.096,"A_H2O2"
0,"soak_3",0.0711,"B_H2O2"
0,"soak_3",0.0772,"A"
0,"soak_3",0.0694,"B"
0,"soak_1",0.0938,"A_H2O2"
0,"soak_1",0.0696,"B_H2O2"
0,"soak_1",0.0768,"A"
0,"soak_1",0.0688,"B"
0,"soak_2",0.1103,"A_H2O2"
0,"soak_2",0.0738,"B_H2O2"
0,"soak_2",0.0814,"A"
0,"soak_2",0.071,"B"
0,"soak_3",0.0988,"A_H2O2"
0,"soak_3",0.0713,"B_H2O2"
0,"soak_3",0.0787,"A"
0,"soak_3",0.0716,"B"
0,"soak_1",0.0944,"A_H2O2"
0,"soak_1",0.0706,"B_H2O2"
0,"soak_1",0.0791,"A"
0,"soak_1",0.0684,"B"
0,"soak_2",0.1098,"A_H2O2"
0,"soak_2",0.0784,"B_H2O2"
0,"soak_2",0.0815,"A"
0,"soak_2",0.0709,"B"
0,"soak_3",0.1,"A_H2O2"
0,"soak_3",0.0717,"B_H2O2"
0,"soak_3",0.077,"A"
0,"soak_3",0.0698,"B"
0,"shake_1",0.1238,"A_H2O2"
0,"shake_1",0.0767,"B_H2O2"
0,"shake_1",0.0862,"A"
0,"shake_1",0.0732,"B"
0,"shake_2",0.1569,"A_H2O2"
0,"shake_2",0.0857,"B_H2O2"
0,"shake_2",0.0957,"A"
0,"shake_2",0.0776,"B"
0,"shake_3",0.161,"A_H2O2"
0,"shake_3",0.0855,"B_H2O2"
0,"shake_3",0.0977,"A"
