"well_ID","time_min","treatment","enzyme","absorbance","substrate"
"A1",0,"A_H2O2","MnP",0.1422,"MBTH/DMAB"
"A2",0,"B_H2O2","MnP",0.0493,"MBTH/DMAB"
"A3",0,"A","MnP",0.063,"MBTH/DMAB"
"A4",0,"B","MnP",0.0495,"MBTH/DMAB"
"A5",0,"A_H2O2","HoP",0.0938,"MBTH/DMAB"
"A6",0,"B_H2O2","HoP",0.0839,"MBTH/DMAB"
"A7",0,"A","HoP",0.0587,"MBTH/DMAB"
"A8",0,"B","HoP",0.0552,"MBTH/DMAB"
"B1",0,"A_H2O2","MnP",0.1786,"MBTH/DMAB"
"B2",0,"B_H2O2","MnP",0.0535,"MBTH/DMAB"
"B3",0,"A","MnP",0.0643,"MBTH/DMAB"
"B4",0,"B","MnP",0.0516,"MBTH/DMAB"
"B5",0,"A_H2O2","HoP",0.0962,"MBTH/DMAB"
"B6",0,"B_H2O2","HoP",0.0858,"MBTH/DMAB"
"B7",0,"A","HoP",0.0585,"MBTH/DMAB"
"B8",0,"B","HoP",0.0569,"MBTH/DMAB"
"C1",0,"A_H2O2","MnP",0.1652,"MBTH/DMAB"
"C2",0,"B_H2O2","MnP",0.0525,"MBTH/DMAB"
"C3",0,"A","MnP",0.0642,"MBTH/DMAB"
"C4",0,"B","MnP",0.0521,"MBTH/DMAB"
"C5",0,"A_H2O2","HoP",0.0992,"MBTH/DMAB"
"C6",0,"B_H2O2","HoP",0.0979,"MBTH/DMAB"
"C7",0,"A","HoP",0.0593,"MBTH/DMAB"
"C8",0,"B","HoP",0.0582,"MBTH/DMAB"
"D1",0,"A_H2O2","MnP",0.1641,"MBTH/DMAB"
"D2",0,"B_H2O2","MnP",0.0538,"MBTH/DMAB"
"D3",0,"A","MnP",0.0652,"MBTH/DMAB"
"D4",0,"B","MnP",0.0537,"MBTH/DMAB"
"D5",0,"A_H2O2","HoP",0.1043,"MBTH/DMAB"
"D6",0,"B_H2O2","HoP",0.0934,"MBTH/DMAB"
"D7",0,"A","HoP",0.0604,"MBTH/DMAB"
"D8",0,"B","HoP",0.059,"MBTH/DMAB"
"A1",0.5,"A_H2O2","MnP",0.2151,"MBTH/DMAB"
"A2",0.5,"B_H2O2","MnP",0.051,"MBTH/DMAB"
"A3",0.5,"A","MnP",0.0692,"MBTH/DMAB"
"A4",0.5,"B","MnP",0.0509,"MBTH/DMAB"
"A5",0.5,"A_H2O2","HoP",0.1312,"MBTH/DMAB"
"A6",0.5,"B_H2O2","HoP",0.1212,"MBTH/DMAB"
"A7",0.5,"A","HoP",0.061,"MBTH/DMAB"
"A8",0.5,"B","HoP",0.0595,"MBTH/DMAB"
"B1",0.5,"A_H2O2","MnP",0.2606,"MBTH/DMAB"
"B2",0.5,"B_H2O2","MnP",0.054,"MBTH/DMAB"
"B3",0.5,"A","MnP",0.0692,"MBTH/DMAB"
"B4",0.5,"B","MnP",0.0528,"MBTH/DMAB"
"B5",0.5,"A_H2O2","HoP",0.1312,"MBTH/DMAB"
"B6",0.5,"B_H2O2","HoP",0.1218,"MBTH/DMAB"
"B7",0.5,"A","HoP",0.0613,"MBTH/DMAB"
"B8",0.5,"B","HoP",0.06,"MBTH/DMAB"
"C1",0.5,"A_H2O2","MnP",0.2422,"MBTH/DMAB"
"C2",0.5,"B_H2O2","MnP",0.0542,"MBTH/DMAB"
"C3",0.5,"A","MnP",0.0689,"MBTH/DMAB"
"C4",0.5,"B","MnP",0.0534,"MBTH/DMAB"
"C5",0.5,"A_H2O2","HoP",0.1322,"MBTH/DMAB"
"C6",0.5,"B_H2O2","HoP",0.1382,"MBTH/DMAB"
"C7",0.5,"A","HoP",0.0618,"MBTH/DMAB"
"C8",0.5,"B","HoP",0.0614,"MBTH/DMAB"
"D1",0.5,"A_H2O2","MnP",0.2335,"MBTH/DMAB"
"D2",0.5,"B_H2O2","MnP",0.0548,"MBTH/DMAB"
"D3",0.5,"A","MnP",0.0701,"MBTH/DMAB"
"D4",0.5,"B","MnP",0.0539,"MBTH/DMAB"
"D5",0.5,"A_H2O2","HoP",0.1426,"MBTH/DMAB"
"D6",0.5,"B_H2O2","HoP",0.1317,"MBTH/DMAB"
"D7",0.5,"A","HoP",0.0632,"MBTH/DMAB"
"D8",0.5,"B","HoP",0.0631,"MBTH/DMAB"
"A1",1,"A_H2O2","MnP",0.2687,"MBTH/DMAB"
"A2",1,"B_H2O2","MnP",0.0521,"MBTH/DMAB"
"A3",1,"A","MnP",0.0722,"MBTH/DMAB"
"A4",1,"B","MnP",0.0519,"MBTH/DMAB"
"A5",1,"A_H2O2","HoP",0.1701,"MBTH/DMAB"
"A6",1,"B_H2O2","HoP",0.1568,"MBTH/DMAB"
"A7",1,"A","HoP",0.0645,"MBTH/DMAB"
"A8",1,"B","HoP",0.0626,"MBTH/DMAB"
"B1",1,"A_H2O2","MnP",0.3313,"MBTH/DMAB"
"B2",1,"B_H2O2","MnP",0.0556,"MBTH/DMAB"
"B3",1,"A","MnP",0.0724,"MBTH/DMAB"
"B4",1,"B","MnP",0.0539,"MBTH/DMAB"
"B5",1,"A_H2O2","HoP",0.1676,"MBTH/DMAB"
"B6",1,"B_H2O2","HoP",0.1565,"MBTH/DMAB"
"B7",1,"A","HoP",0.0645,"MBTH/DMAB"
"B8",1,"B","HoP",0.0637,"MBTH/DMAB"
"C1",1,"A_H2O2","MnP",0.301,"MBTH/DMAB"
"C2",1,"B_H2O2","MnP",0.0565,"MBTH/DMAB"
"C3",1,"A","MnP",0.0719,"MBTH/DMAB"
"C4",1,"B","MnP",0.0544,"MBTH/DMAB"
"C5",1,"A_H2O2","HoP",0.1665,"MBTH/DMAB"
"C6",1,"B_H2O2","HoP",0.1781,"MBTH/DMAB"
"C7",1,"A","HoP",0.065,"MBTH/DMAB"
"C8",1,"B","HoP",0.065,"MBTH/DMAB"
"D1",1,"A_H2O2","MnP",0.2974,"MBTH/DMAB"
"D2",1,"B_H2O2","MnP",0.0566,"MBTH/DMAB"
"D3",1,"A","MnP",0.073,"MBTH/DMAB"
"D4",1,"B","MnP",0.0555,"MBTH/DMAB"
"D5",1,"A_H2O2","HoP",0.1795,"MBTH/DMAB"
"D6",1,"B_H2O2","HoP",0.1682,"MBTH/DMAB"
"D7",1,"A","HoP",0.0653,"MBTH/DMAB"
"D8",1,"B","HoP",0.0657,"MBTH/DMAB"
"A1",1.5,"A_H2O2","MnP",0.3196,"MBTH/DMAB"
"A2",1.5,"B_H2O2","MnP",0.0534,"MBTH/DMAB"
"A3",1.5,"A","MnP",0.0754,"MBTH/DMAB"
"A4",1.5,"B","MnP",0.0532,"MBTH/DMAB"
"A5",1.5,"A_H2O2","HoP",0.2062,"MBTH/DMAB"
"A6",1.5,"B_H2O2","HoP",0.1927,"MBTH/DMAB"
"A7",1.5,"A","HoP",0.0667,"MBTH/DMAB"
"A8",1.5,"B","HoP",0.0652,"MBTH/DMAB"
"B1",1.5,"A_H2O2","MnP",0.4001,"MBTH/DMAB"
"B2",1.5,"B_H2O2","MnP",0.0567,"MBTH/DMAB"
"B3",1.5,"A","MnP",0.0757,"MBTH/DMAB"
"B4",1.5,"B","MnP",0.055,"MBTH/DMAB"
"B5",1.5,"A_H2O2","HoP",0.2035,"MBTH/DMAB"
"B6",1.5,"B_H2O2","HoP",0.1908,"MBTH/DMAB"
"B7",1.5,"A","HoP",0.0674,"MBTH/DMAB"
"B8",1.5,"B","HoP",0.0662,"MBTH/DMAB"
"C1",1.5,"A_H2O2","MnP",0.3647,"MBTH/DMAB"
"C2",1.5,"B_H2O2","MnP",0.0571,"MBTH/DMAB"
"C3",1.5,"A","MnP",0.0745,"MBTH/DMAB"
"C4",1.5,"B","MnP",0.0563,"MBTH/DMAB"
"C5",1.5,"A_H2O2","HoP",0.2018,"MBTH/DMAB"
"C6",1.5,"B_H2O2","HoP",0.2166,"MBTH/DMAB"
"C7",1.5,"A","HoP",0.0673,"MBTH/DMAB"
"C8",1.5,"B","HoP",0.0678,"MBTH/DMAB"
"D1",1.5,"A_H2O2","MnP",0.3611,"MBTH/DMAB"
"D2",1.5,"B_H2O2","MnP",0.0587,"MBTH/DMAB"
"D3",1.5,"A","MnP",0.0758,"MBTH/DMAB"
"D4",1.5,"B","MnP",0.0557,"MBTH/DMAB"
"D5",1.5,"A_H2O2","HoP",0.2138,"MBTH/DMAB"
"D6",1.5,"B_H2O2","HoP",0.2042,"MBTH/DMAB"
"D7",1.5,"A","HoP",0.0675,"MBTH/DMAB"
"D8",1.5,"B","HoP",0.0679,"MBTH/DMAB"
"A1",2,"A_H2O2","MnP",0.3634,"MBTH/DMAB"
"A2",2,"B_H2O2","MnP",0.0542,"MBTH/DMAB"
"A3",2,"A","MnP",0.0778,"MBTH/DMAB"
"A4",2,"B","MnP",0.0544,"MBTH/DMAB"
"A5",2,"A_H2O2","HoP",0.2409,"MBTH/DMAB"
"A6",2,"B_H2O2","HoP",0.2281,"MBTH/DMAB"
"A7",2,"A","HoP",0.0691,"MBTH/DMAB"
"A8",2,"B","HoP",0.0682,"MBTH/DMAB"
"B1",2,"A_H2O2","MnP",0.4506,"MBTH/DMAB"
"B2",2,"B_H2O2","MnP",0.0587,"MBTH/DMAB"
"B3",2,"A","MnP",0.0775,"MBTH/DMAB"
"B4",2,"B","MnP",0.0559,"MBTH/DMAB"
"B5",2,"A_H2O2","HoP",0.2383,"MBTH/DMAB"
"B6",2,"B_H2O2","HoP",0.2229,"MBTH/DMAB"
"B7",2,"A","HoP",0.0697,"MBTH/DMAB"
"B8",2,"B","HoP",0.0689,"MBTH/DMAB"
"C1",2,"A_H2O2","MnP",0.4173,"MBTH/DMAB"
"C2",2,"B_H2O2","MnP",0.059,"MBTH/DMAB"
"C3",2,"A","MnP",0.0766,"MBTH/DMAB"
"C4",2,"B","MnP",0.0564,"MBTH/DMAB"
"C5",2,"A_H2O2","HoP",0.2349,"MBTH/DMAB"
"C6",2,"B_H2O2","HoP",0.2518,"MBTH/DMAB"
"C7",2,"A","HoP",0.0696,"MBTH/DMAB"
"C8",2,"B","HoP",0.0701,"MBTH/DMAB"
"D1",2,"A_H2O2","MnP",0.4139,"MBTH/DMAB"
"D2",2,"B_H2O2","MnP",0.0596,"MBTH/DMAB"
"D3",2,"A","MnP",0.0773,"MBTH/DMAB"
"D4",2,"B","MnP",0.0572,"MBTH/DMAB"
"D5",2,"A_H2O2","HoP",0.2452,"MBTH/DMAB"
"D6",2,"B_H2O2","HoP",0.2377,"MBTH/DMAB"
"D7",2,"A","HoP",0.0699,"MBTH/DMAB"
"D8",2,"B","HoP",0.0704,"MBTH/DMAB"
"A1",2.5,"A_H2O2","MnP",0.4098,"MBTH/DMAB"
"A2",2.5,"B_H2O2","MnP",0.0551,"MBTH/DMAB"
"A3",2.5,"A","MnP",0.0795,"MBTH/DMAB"
"A4",2.5,"B","MnP",0.0553,"MBTH/DMAB"
"A5",2.5,"A_H2O2","HoP",0.2749,"MBTH/DMAB"
"A6",2.5,"B_H2O2","HoP",0.2615,"MBTH/DMAB"
"A7",2.5,"A","HoP",0.0705,"MBTH/DMAB"
"A8",2.5,"B","HoP",0.0701,"MBTH/DMAB"
"B1",2.5,"A_H2O2","MnP",0.5024,"MBTH/DMAB"
"B2",2.5,"B_H2O2","MnP",0.0592,"MBTH/DMAB"
"B3",2.5,"A","MnP",0.0781,"MBTH/DMAB"
"B4",2.5,"B","MnP",0.0573,"MBTH/DMAB"
"B5",2.5,"A_H2O2","HoP",0.2709,"MBTH/DMAB"
"B6",2.5,"B_H2O2","HoP",0.2551,"MBTH/DMAB"
"B7",2.5,"A","HoP",0.0713,"MBTH/DMAB"
"B8",2.5,"B","HoP",0.0714,"MBTH/DMAB"
"C1",2.5,"A_H2O2","MnP",0.4621,"MBTH/DMAB"
"C2",2.5,"B_H2O2","MnP",0.06,"MBTH/DMAB"
"C3",2.5,"A","MnP",0.0775,"MBTH/DMAB"
"C4",2.5,"B","MnP",0.0575,"MBTH/DMAB"
"C5",2.5,"A_H2O2","HoP",0.2671,"MBTH/DMAB"
"C6",2.5,"B_H2O2","HoP",0.2863,"MBTH/DMAB"
"C7",2.5,"A","HoP",0.0716,"MBTH/DMAB"
"C8",2.5,"B","HoP",0.0723,"MBTH/DMAB"
"D1",2.5,"A_H2O2","MnP",0.4625,"MBTH/DMAB"
"D2",2.5,"B_H2O2","MnP",0.0597,"MBTH/DMAB"
"D3",2.5,"A","MnP",0.0791,"MBTH/DMAB"
"D4",2.5,"B","MnP",0.0576,"MBTH/DMAB"
"D5",2.5,"A_H2O2","HoP",0.2772,"MBTH/DMAB"
"D6",2.5,"B_H2O2","HoP",0.2708,"MBTH/DMAB"
"D7",2.5,"A","HoP",0.0709,"MBTH/DMAB"
"D8",2.5,"B","HoP",0.0729,"MBTH/DMAB"
"A1",3,"A_H2O2","MnP",0.4503,"MBTH/DMAB"
"A2",3,"B_H2O2","MnP",0.0563,"MBTH/DMAB"
"A3",3,"A","MnP",0.081,"MBTH/DMAB"
"A4",3,"B","MnP",0.0568,"MBTH/DMAB"
"A5",3,"A_H2O2","HoP",0.3082,"MBTH/DMAB"
"A6",3,"B_H2O2","HoP",0.2952,"MBTH/DMAB"
"A7",3,"A","HoP",0.0727,"MBTH/DMAB"
"A8",3,"B","HoP",0.0723,"MBTH/DMAB"
"B1",3,"A_H2O2","MnP",0.5427,"MBTH/DMAB"
"B2",3,"B_H2O2","MnP",0.0606,"MBTH/DMAB"
"B3",3,"A","MnP",0.0797,"MBTH/DMAB"
"B4",3,"B","MnP",0.0576,"MBTH/DMAB"
"B5",3,"A_H2O2","HoP",0.303,"MBTH/DMAB"
"B6",3,"B_H2O2","HoP",0.2872,"MBTH/DMAB"
"B7",3,"A","HoP",0.0736,"MBTH/DMAB"
"B8",3,"B","HoP",0.0733,"MBTH/DMAB"
"C1",3,"A_H2O2","MnP",0.5083,"MBTH/DMAB"
"C2",3,"B_H2O2","MnP",0.061,"MBTH/DMAB"
"C3",3,"A","MnP",0.0796,"MBTH/DMAB"
"C4",3,"B","MnP",0.0585,"MBTH/DMAB"
"C5",3,"A_H2O2","HoP",0.2979,"MBTH/DMAB"
"C6",3,"B_H2O2","HoP",0.3193,"MBTH/DMAB"
"C7",3,"A","HoP",0.0728,"MBTH/DMAB"
"C8",3,"B","HoP",0.0748,"MBTH/DMAB"
"D1",3,"A_H2O2","MnP",0.5041,"MBTH/DMAB"
"D2",3,"B_H2O2","MnP",0.0615,"MBTH/DMAB"
"D3",3,"A","MnP",0.0808,"MBTH/DMAB"
"D4",3,"B","MnP",0.0587,"MBTH/DMAB"
"D5",3,"A_H2O2","HoP",0.3076,"MBTH/DMAB"
"D6",3,"B_H2O2","HoP",0.3024,"MBTH/DMAB"
"D7",3,"A","HoP",0.0729,"MBTH/DMAB"
"D8",3,"B","HoP",0.0747,"MBTH/DMAB"
"A1",3.5,"A_H2O2","MnP",0.4779,"MBTH/DMAB"
"A2",3.5,"B_H2O2","MnP",0.0577,"MBTH/DMAB"
"A3",3.5,"A","MnP",0.0817,"MBTH/DMAB"
"A4",3.5,"B","MnP",0.0566,"MBTH/DMAB"
"A5",3.5,"A_H2O2","HoP",0.3388,"MBTH/DMAB"
"A6",3.5,"B_H2O2","HoP",0.3293,"MBTH/DMAB"
"A7",3.5,"A","HoP",0.0744,"MBTH/DMAB"
"A8",3.5,"B","HoP",0.0744,"MBTH/DMAB"
"B1",3.5,"A_H2O2","MnP",0.5807,"MBTH/DMAB"
"B2",3.5,"B_H2O2","MnP",0.0618,"MBTH/DMAB"
"B3",3.5,"A","MnP",0.0812,"MBTH/DMAB"
"B4",3.5,"B","MnP",0.0585,"MBTH/DMAB"
"B5",3.5,"A_H2O2","HoP",0.3356,"MBTH/DMAB"
"B6",3.5,"B_H2O2","HoP",0.3182,"MBTH/DMAB"
"B7",3.5,"A","HoP",0.0746,"MBTH/DMAB"
"B8",3.5,"B","HoP",0.0756,"MBTH/DMAB"
"C1",3.5,"A_H2O2","MnP",0.5457,"MBTH/DMAB"
"C2",3.5,"B_H2O2","MnP",0.0617,"MBTH/DMAB"
"C3",3.5,"A","MnP",0.0806,"MBTH/DMAB"
"C4",3.5,"B","MnP",0.0593,"MBTH/DMAB"
"C5",3.5,"A_H2O2","HoP",0.3287,"MBTH/DMAB"
"C6",3.5,"B_H2O2","HoP",0.3521,"MBTH/DMAB"
"C7",3.5,"A","HoP",0.0739,"MBTH/DMAB"
"C8",3.5,"B","HoP",0.0768,"MBTH/DMAB"
"D1",3.5,"A_H2O2","MnP",0.5395,"MBTH/DMAB"
"D2",3.5,"B_H2O2","MnP",0.0617,"MBTH/DMAB"
"D3",3.5,"A","MnP",0.0817,"MBTH/DMAB"
"D4",3.5,"B","MnP",0.0602,"MBTH/DMAB"
"D5",3.5,"A_H2O2","HoP",0.3378,"MBTH/DMAB"
"D6",3.5,"B_H2O2","HoP",0.3346,"MBTH/DMAB"
"D7",3.5,"A","HoP",0.0747,"MBTH/DMAB"
"D8",3.5,"B","HoP",0.0767,"MBTH/DMAB"
"A1",4,"A_H2O2","MnP",0.5007,"MBTH/DMAB"
"A2",4,"B_H2O2","MnP",0.0582,"MBTH/DMAB"
"A3",4,"A","MnP",0.0821,"MBTH/DMAB"
"A4",4,"B","MnP",0.0573,"MBTH/DMAB"
"A5",4,"A_H2O2","HoP",0.3703,"MBTH/DMAB"
"A6",4,"B_H2O2","HoP",0.363,"MBTH/DMAB"
"A7",4,"A","HoP",0.0763,"MBTH/DMAB"
"A8",4,"B","HoP",0.0761,"MBTH/DMAB"
"B1",4,"A_H2O2","MnP",0.6217,"MBTH/DMAB"
"B2",4,"B_H2O2","MnP",0.0619,"MBTH/DMAB"
"B3",4,"A","MnP",0.0817,"MBTH/DMAB"
"B4",4,"B","MnP",0.0594,"MBTH/DMAB"
"B5",4,"A_H2O2","HoP",0.3679,"MBTH/DMAB"
"B6",4,"B_H2O2","HoP",0.3475,"MBTH/DMAB"
"B7",4,"A","HoP",0.076,"MBTH/DMAB"
"B8",4,"B","HoP",0.0773,"MBTH/DMAB"
"C1",4,"A_H2O2","MnP",0.5883,"MBTH/DMAB"
"C2",4,"B_H2O2","MnP",0.0626,"MBTH/DMAB"
"C3",4,"A","MnP",0.0815,"MBTH/DMAB"
"C4",4,"B","MnP",0.0599,"MBTH/DMAB"
"C5",4,"A_H2O2","HoP",0.359,"MBTH/DMAB"
